URL,Name,Address,Website,Phone,Phone Number,Latitude,Longitude,
https://www.google.com/maps/place/EDIA/data=!4m7!3m6!1s0x390cfb3e3f468a1d:0xa20aa5a10c9de3f7!8m2!3d28.6822709!4d77.3127341!16s%2Fg%2F11fmlwl3fp!19sChIJHYpGPz77DDkR9-OdDKGlCqI?authuser=0&hl=en&rclk=1,EDIA,"81-A, Pocket-A, Block A, Dilshad Garden, Delhi, 110095",https://edia1.co.in/,9811991588,9811991588,28.6822709,77.3127341,
https://www.google.com/maps/place/PHOENIX+ACADEMIA/data=!4m7!3m6!1s0x390ce3277c834719:0xace8ce6309fb80c1!8m2!3d28.5418375!4d77.2036432!16s%2Fg%2F11fphhk5v5!19sChIJGUeDfCfjDDkRwYD7CWPO6Kw?authuser=0&hl=en&rclk=1,PHOENIX ACADEMIA,"58/1, Kalu Sarai, opp. sarvpriya vihar, Vijay Mandal Enclave, Kalu Sarai, New Delhi, Delhi 110016",Not Found,7703985005,7703985005,28.5418375,77.2036432,
https://www.google.com/maps/place/LearninGuru+%7C+Overseas+Education+Consultant/data=!4m7!3m6!1s0x390ce25b1263dab5:0x78832fc12ef6ae66!8m2!3d28.5678454!4d77.2244222!16s%2Fg%2F11b6sj_mrj!19sChIJtdpjElviDDkRZq72LsEvg3g?authuser=0&hl=en&rclk=1,LearninGuru | Overseas Education Consultant,"M-3 Basement, Ring Rd, below Kotak Mahindra Bank, South Extension II, New Delhi, Delhi 110049",https://learninguru.com/,9910367036,9910367036,28.5678454,77.2244222,
https://www.google.com/maps/place/American+Institute+of+English+Language+Pvt.+Ltd./data=!4m7!3m6!1s0x390ce25eaf9c7ddb:0x8adf033e690d6828!8m2!3d28.5700013!4d77.2198247!16s%2Fg%2F12h_csggs!19sChIJ232cr17iDDkRKGgNaT4D34o?authuser=0&hl=en&rclk=1,American Institute of English Language Pvt. Ltd.,"E-20 First floor, South Extension I, Block E, New Delhi, Delhi 110049",http://www.americaninstitutedelhi.in/,9250723413,9250723413,28.5700013,77.2198247,
https://www.google.com/maps/place/AVIONTUS/data=!4m7!3m6!1s0x390d059b378a908b:0xbfdcab1e92b59c33!8m2!3d28.6296809!4d77.0796503!16s%2Fg%2F11h1bp85lw!19sChIJi5CKN5sFDTkRM5y1kh6r3L8?authuser=0&hl=en&rclk=1,AVIONTUS,"UG-17, Westend Mall, Janakpuri West, Delhi, 110058",http://www.aviontus.com/,8448236360,8448236360,28.6296809,77.0796503,
https://www.google.com/maps/place/Magoosh+-+GRE+%7C+GMAT+%7C+SAT+%7C+ACT+%7C+TOEFL+%7C+IELTS/data=!4m7!3m6!1s0x390d1d2831ca2d33:0xa0c28c53e1399aea!8m2!3d28.5383669!4d77.1981759!16s%2Fg%2F11nymg_zk9!19sChIJMy3KMSgdDTkR6po54VOMwqA?authuser=0&hl=en&rclk=1,Magoosh - GRE | GMAT | SAT | ACT | TOEFL | IELTS,"97/1, Upper Ground Floor, Sri Aurobindo Marg, Adhchini Village, Qutab Enclave, New Delhi, Delhi 110017",http://www.learnerscortex.com/,9566252166,9566252166,28.5383669,77.1981759,
https://www.google.com/maps/place/Wisdom+Mart/data=!4m7!3m6!1s0x390ce20d3cd08137:0xce11744db1716f77!8m2!3d28.5520017!4d77.2038874!16s%2Fg%2F1tcxy63r!19sChIJN4HQPA3iDDkRd29xsU10Ec4?authuser=0&hl=en&rclk=1,Wisdom Mart,"202, 207, Sri Aurobindo Marg, Hauz Khas, New Delhi, Delhi 110016",https://wisdommart.com/,9873629442,9873629442,28.5520017,77.2038874,
https://www.google.com/maps/place/sai+ielts/data=!4m7!3m6!1s0x390ce21ebd555fa5:0xff9090580ce1ff86!8m2!3d28.6032398!4d77.4504142!16s%2Fg%2F11j1hynd4z!19sChIJpV9VvR7iDDkRhv_hDFiQkP8?authuser=0&hl=en&rclk=1,sai ielts,"GROUND FLOOR, 90/48B, Bhangel, New Delhi, Ghaziabad, Delhi 110017",https://www.sai-ielts.com/,Phone Number Not Found,Phone Number Not Found,28.6032398,77.4504142,
https://www.google.com/maps/place/Study+Smart+-+Study+Abroad+Consultancy+%26+Classroom+IELTS+Coaching+in+Delhi/data=!4m7!3m6!1s0x390ce25da9f07291:0xd2983a4bc399f4b9!8m2!3d28.534164!4d77.242784!16s%2Fg%2F1ptz53z8t!19sChIJkXLwqV3iDDkRufSZw0s6mNI?authuser=0&hl=en&rclk=1,Study Smart - Study Abroad Consultancy & Classroom IELTS Coaching in Delhi,"Third Floor, M-10, Block M, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048",https://www.studysmart.co.in/?utm_source=GMB&utm_medium=Organic&utm_campaign=Delhi,9513238155,9513238155,28.534164,77.242784,
https://www.google.com/maps/place/The+Study+Point/data=!4m7!3m6!1s0x390ce21c55dc01e7:0xfd60a16fb76010e2!8m2!3d28.5340079!4d77.2090613!16s%2Fg%2F11bxfq1x_z!19sChIJ5wHcVRziDDkR4hBgt2-hYP0?authuser=0&hl=en&rclk=1,The Study Point,"2nd Floor, E-1/12, Malviya Nagar Rd, Block E, Malviya Nagar, New Delhi, Delhi 110017",Not Found,9810077719,9810077719,28.5340079,77.2090613,
