URL,Name,Address,Website,Phone,Latitude,Longitude
https://www.google.com/maps/place/Krishika+stationery/data=!4m7!3m6!1s0x3a526f4e4aa272af:0xd5a0483b1c0a29e6!8m2!3d13.0988311!4d80.2904728!16s%2Fg%2F11cjj_mpzt!19sChIJr3KiSk5vUjoR5ikKHDtIoNU?authuser=0&hl=en&rclk=1,Krishika stationery,"270, Linghi Chetty Street, facing, Krishnan Koil St, George Town, Chennai, Tamil Nadu 600001",https://www.instagram.com/krishika_stationery_94?igsh=MTZqMGZueTAxazkyYg==,09941951284,13.0988311,80.2904728
https://www.google.com/maps/place/AVM+STATIONERY+STORES/data=!4m7!3m6!1s0x3a5265c89bef6bd9:0x1f75faf67e6d38f3!8m2!3d13.0887797!4d80.2838219!16s%2Fg%2F1tjddm46!19sChIJ2Wvvm8hlUjoR8zhtfvb6dR8?authuser=0&hl=en&rclk=1,AVM STATIONERY STORES,"26b, Anderson Street, George Town, Chennai, Tamil Nadu 600001",Not Found,09444179878,13.0887797,80.2838219
https://www.google.com/maps/place/Golden+Paper+%26+Stationery+Stores/data=!4m7!3m6!1s0x3a526f511066c25b:0xc854cd80c9159e73!8m2!3d13.0886349!4d80.2839207!16s%2Fg%2F1tf3mblz!19sChIJW8JmEFFvUjoRc54VyYDNVMg?authuser=0&hl=en&rclk=1,Golden Paper & Stationery Stores,"D, 25, Anderson Street, Flower Bazaar, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,09499917454,13.0886349,80.2839207
https://www.google.com/maps/place/New+Andavar+Stores/data=!4m7!3m6!1s0x3a526f513184f26b:0x703e66dc6cd50250!8m2!3d13.0890906!4d80.2825408!16s%2Fg%2F1ptyj2sdy!19sChIJa_KEMVFvUjoRUALVbNxmPnA?authuser=0&hl=en&rclk=1,New Andavar Stores,"27, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,09884180123,13.0890906,80.2825408
https://www.google.com/maps/place/Todays+Stationery+Stores/data=!4m7!3m6!1s0x3a526f51367aa241:0x3a745fac3eacb495!8m2!3d13.0886708!4d80.2824916!16s%2Fg%2F11clhsh49_!19sChIJQaJ6NlFvUjoRlbSsPqxfdDo?authuser=0&hl=en&rclk=1,Todays Stationery Stores,"34, 35, Bunder Street, George Town, Chennai, Tamil Nadu 600001",Not Found,09941775280,13.0886708,80.2824916
https://www.google.com/maps/place/M.R.+BOOK+STORES/data=!4m7!3m6!1s0x3a526f514d906d95:0x251c1c5b3c58e771!8m2!3d13.0893603!4d80.2824811!16s%2Fg%2F11cjnk9jry!19sChIJlW2QTVFvUjoRcedYPFscHCU?authuser=0&hl=en&rclk=1,M.R. BOOK STORES,"45, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,04425364596,13.0893603,906
https://www.google.com/maps/place/NEW+BURMA+PAPER+%26+STATIONERY+STORES/data=!4m7!3m6!1s0x3a5265c89bef6bd9:0x682e8254d076ec6a!8m2!3d13.0899131!4d80.284142!16s%2Fg%2F11cs1lc209!19sChIJ2Wvvm8hlUjoRaux20FSCLmg?authuser=0&hl=en&rclk=1,NEW BURMA PAPER & STATIONERY STORES,"17A, 8A, Anderson Street, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,09840539522,13.0899131,076
https://www.google.com/maps/place/Indo-burma+Stationery/data=!4m7!3m6!1s0x3a526f51113e64db:0x347b3589efab1274!8m2!3d13.090242!4d80.284126!16s%2Fg%2F1vfp6mrv!19sChIJ22Q-EVFvUjoRdBKr74k1ezQ?authuser=0&hl=en&rclk=1,Indo-burma Stationery,"41, Anderson Street, Broadway, George Town, Chennai, Tamil Nadu 600001",Not Found,Phone Number Not Found,13.090242,80.284126
https://www.google.com/maps/place/S.P.M+Stationery+Stores/data=!4m7!3m6!1s0x3a526f516b8eea3d:0x5cfc8e017cd19b06!8m2!3d13.0889965!4d80.2838802!16s%2Fg%2F11clvt19t7!19sChIJPeqOa1FvUjoRBpvRfAGO_Fw?authuser=0&hl=en&rclk=1,S.P.M Stationery Stores,"29, Anderson Street, Broadway, George Town, Chennai, Tamil Nadu 600001",Not Found,09842826143,13.0889965,80.2838802
https://www.google.com/maps/place/Hatim+Enterprises+-+One+Stop+Shop+For+All+Your+Stationery+needs/data=!4m7!3m6!1s0x3a526f1d429f8021:0xec1a84da963d239f!8m2!3d13.0976935!4d80.285534!16s%2Fg%2F11jxxlvkn7!19sChIJIYCfQh1vUjoRnyM9ltqEGuw?authuser=0&hl=en&rclk=1,Hatim Enterprises - One Stop Shop For All Your Stationery needs,"Shop No:6,Mylal, Chicken Market, 1, Mylai Periyathambi St, Amman Koil South, George Town, Chennai, Tamil Nadu 600001",Not Found,08807162972,239,80.285534
https://www.google.com/maps/place/Madhu+Stationers/data=!4m7!3m6!1s0x3a526f002a1c5bc3:0x4d84dcb9e146e21e!8m2!3d13.0926887!4d80.280443!16s%2Fg%2F11yfw50_kl!19sChIJw1scKgBvUjoRHuJG4bnchE0?authuser=0&hl=en&rclk=1,Madhu Stationers,"Parmila Complex, Kesar Avenue, 121, Audiappa Naicken St, Sowcarpet, George Town, Chennai, Tamil Nadu 600001",https://makoba.com/,Phone Number Not Found,13.0926887,84
https://www.google.com/maps/place/Chennai+Stationers/data=!4m7!3m6!1s0x3a526f4e663f6c49:0xce162de8a8c6b0c5!8m2!3d13.0904216!4d80.2847396!16s%2Fg%2F1tcvxvkq!19sChIJSWw_Zk5vUjoRxbDGqOgtFs4?authuser=0&hl=en&rclk=1,Chennai Stationers,"1, 2nd Line Beach Rd, Parry's Corner, George Town, Chennai, Tamil Nadu 600001",Not Found,04425242396,13.0904216,80.2847396
https://www.google.com/maps/place/Office+Equipment+Company+Chennai+Private+Limited/data=!4m7!3m6!1s0x3a526f4545183c2f:0x536b65b48ddf6c44!8m2!3d13.089181!4d80.2876008!16s%2Fg%2F1vbl5_s9!19sChIJLzwYRUVvUjoRRGzfjbRla1M?authuser=0&hl=en&rclk=1,Office Equipment Company Chennai Private Limited,"Shop Number. 60, Armenian St, George Town, Chennai, Tamil Nadu 600001",Not Found,04425381919,13.089181,80.2876008
https://www.google.com/maps/place/Moon+Paper+Market/data=!4m7!3m6!1s0x3a526f5143026f89:0xabdaa5e20b524399!8m2!3d13.0893061!4d80.2839243!16s%2Fg%2F11c6lhx8hg!19sChIJiW8CQ1FvUjoRmUNSC-Kl2qs?authuser=0&hl=en&rclk=1,Moon Paper Market,"77/35/1, Broadway, George Town, Chennai, Tamil Nadu 600001",Not Found,09942133780,13.0893061,80.2839243
https://www.google.com/maps/place/A+N+M+Paper+%26+Stationery+Stores/data=!4m7!3m6!1s0x3a526f51684fe2ab:0xf7b968ec8052de0a!8m2!3d13.0891905!4d80.2838302!16s%2Fg%2F11c3w1wqtj!19sChIJq-JPaFFvUjoRCt5SgOxoufc?authuser=0&hl=en&rclk=1,A N M Paper & Stationery Stores,"No.62, old no:, 32, Anderson Street, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,09444426702,13.0891905,80.2838302
https://www.google.com/maps/place/Hindustan+Stationery+Company/data=!4m7!3m6!1s0x3a526f5110509ee3:0x90abfe4b119a0e9!8m2!3d13.09036!4d80.28425!16s%2Fg%2F11clvskbwj!19sChIJ455QEFFvUjoR6aAZseS_Cgk?authuser=0&hl=en&rclk=1,Hindustan Stationery Company,"No.35, 5/3, 5/3, Anderson Street, Broadway, George Town, Chennai, Tamil Nadu 600001",Not Found,09444349360,13.09036,80.28425
https://www.google.com/maps/place/Avm+Hi+Tech/data=!4m7!3m6!1s0x3a526f515fdb8f55:0x1833fd6a17c69245!8m2!3d13.0884966!4d80.2836779!16s%2Fg%2F124sy0mfr!19sChIJVY_bX1FvUjoRRZLGF2r9Mxg?authuser=0&hl=en&rclk=1,Avm Hi Tech,"195, NSC Bose Rd, near Parrys, Flower Bazaar, Broadway, George Town, Chennai, Tamil Nadu 600001",Not Found,Phone Number Not Found,13.0884966,80.2836779
https://www.google.com/maps/place/General+Stationery/data=!4m7!3m6!1s0x3a526f4497402507:0x5e08b2e2c47a8f1f!8m2!3d13.09916!4d80.289536!16s%2Fg%2F11c3tjd24z!19sChIJByVAl0RvUjoRH496xOKyCF4?authuser=0&hl=en&rclk=1,General Stationery,"38/22, 38/22, Krishnan Koil St, Muthialpet, George Town, Chennai, Tamil Nadu 600001",Not Found,09840131585,13.09916,80.289536
https://www.google.com/maps/place/K+Jayaram+Mudaliar/data=!4m7!3m6!1s0x3a526f520fffffff:0x9596f41d9c4d81e5!8m2!3d13.0909352!4d80.2833557!16s%2Fg%2F1tdj_02c!19sChIJ____D1JvUjoR5YFNnB30lpU?authuser=0&hl=en&rclk=1,K Jayaram Mudaliar,"2, Badrian Street, Broadway, George Town, Chennai, Tamil Nadu 600001",Not Found,09840263994,13.0909352,81
https://www.google.com/maps/place/Abbas+stationery/data=!4m7!3m6!1s0x3a526f4e5a1f1ba5:0x4dbd0ac8750b3976!8m2!3d13.0964901!4d80.2886004!16s%2Fg%2F11qbj1dv2q!19sChIJpRsfWk5vUjoRdjkLdcgKvU0?authuser=0&hl=en&rclk=1,Abbas stationery,"48/1, main road, opposite to semma mansion, Mannadi, George Town, Chennai, Tamil Nadu 600001",Not Found,07299952786,13.0964901,80.2886004
https://www.google.com/maps/place/Sarva+Lakshmi+Stores/data=!4m7!3m6!1s0x3a526f51341e2d83:0x8f26796ce0aeee34!8m2!3d13.0888525!4d80.2824419!16s%2Fg%2F1tjz1t20!19sChIJgy0eNFFvUjoRNO6u4Gx5Jo8?authuser=0&hl=en&rclk=1,Sarva Lakshmi Stores,"No.66, 39B, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001",http://www.sarvalakshmistores.com/,09840987831,13.0888525,80.2824419
https://www.google.com/maps/place/Hindustan+Paper+%26+Stationeries/data=!4m7!3m6!1s0x3a526f5767e4e1fb:0x93c5c8dbcb06c6e4!8m2!3d13.0927538!4d80.2849723!16s%2Fg%2F1tc_pfkj!19sChIJ--HkZ1dvUjoR5MYGy9vIxZM?authuser=0&hl=en&rclk=1,Hindustan Paper & Stationeries,"18, Chinna Thambi St, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,04425228576,13.0927538,80.2849723
https://www.google.com/maps/place/The+Super+Trades/data=!4m7!3m6!1s0x3a526f4e183606e9:0x10a46af84ad426ac!8m2!3d13.0913598!4d80.2897568!16s%2Fg%2F1tdckd2y!19sChIJ6QY2GE5vUjoRrCbUSvhqpBA?authuser=0&hl=en&rclk=1,The Super Trades,"240/140, Angappa Chetty Street, Parrys, Angappa Chetty Street, Chennai, Tamil Nadu 600001",Not Found,04425215458,13.0913598,80.2897568
https://www.google.com/maps/place/Raj+Stationers/data=!4m7!3m6!1s0x3a526f57047712ef:0x9ad6495e8186cf3f!8m2!3d13.089458!4d80.279666!16s%2Fg%2F1tk6tbg7!19sChIJ7xJ3BFdvUjoRP8-GgV5J1po?authuser=0&hl=en&rclk=1,Error,Error,Error,Error,13.089458,80.279666
https://www.google.com/maps/place/Nagoor+Stores/data=!4m7!3m6!1s0x3a526f1f5f298c6b:0x665914eb041eb933!8m2!3d13.089812!4d80.2825943!16s%2Fg%2F11rsh3vb8q!19sChIJa4wpXx9vUjoRM7keBOsUWWY?authuser=0&hl=en&rclk=1,Nagoor Stores,"Old No.46, New, 52, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001",http://www.nagoorstores.com/,09444904176,13.089812,80.2825943
https://www.google.com/maps/place/GEM+%26+CO+%28GAMA+pens%29/data=!4m7!3m6!1s0x3a526f51802576c9:0xa24727010641f06b!8m2!3d13.0886905!4d80.2851038!16s%2Fg%2F1tf8rj8v!19sChIJyXYlgFFvUjoRa_BBBgEnR6I?authuser=0&hl=en&rclk=1,GEM & CO (GAMA pens),"215, NSC Bose Rd, Parrys, George Town, Chennai, Tamil Nadu 600001",http://www.gamapens.com/,Phone Number Not Found,13.0886905,80.2851038
https://www.google.com/maps/place/New+Asia+Paper+and+Stationery+Stores/data=!4m7!3m6!1s0x3a526f513df95eef:0x92353c4a5d7a7acb!8m2!3d13.0894547!4d80.2835453!16s%2Fg%2F1td6893l!19sChIJ7175PVFvUjoRy3p6XUo8NZI?authuser=0&hl=en&rclk=1,,,Not Found,Phone Number Not Found,13.0894547,80.2835453
https://www.google.com/maps/place/Navrang+store/data=!4m7!3m6!1s0x3a526f3e680ce43b:0x237c832ff0b596df!8m2!3d13.0886265!4d80.2824629!16s%2Fg%2F11kqv_wvk1!19sChIJO-QMaD5vUjoR35a18C-DfCM?authuser=0&hl=en&rclk=1,Navrang store,"Bunder Street, George Town, Chennai, Tamil Nadu 600001",Not Found,08838119612,13.0886265,80.2824629
https://www.google.com/maps/place/CLASSIC+STATIONERY+STORES/data=!4m7!3m6!1s0x3a526fe86321fbed:0x8d6b7e6f43ff9454!8m2!3d13.0898018!4d80.2839555!16s%2Fg%2F11rpkksmtd!19sChIJ7fshY-hvUjoRVJT_Q29-a40?authuser=0&hl=en&rclk=1,CLASSIC STATIONERY STORES,"48, Anderson Street, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,08056216543,13.0898018,80.2839555
https://www.google.com/maps/place/Yesemes+Stores/data=!4m7!3m6!1s0x3a526f512e89ead1:0x5ea89ea92491d4b5!8m2!3d13.0889919!4d80.2825651!16s%2Fg%2F11jz4jh8h6!19sChIJ0eqJLlFvUjoRtdSRJKmeqF4?authuser=0&hl=en&rclk=1,Yesemes Stores,"29, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001",https://yesemes.com/,04425380707,13.0889919,80.2825651
https://www.google.com/maps/place/Madras+Papers/data=!4m7!3m6!1s0x3a5265c88352e4e9:0xf6e894e9dc2e791e!8m2!3d13.090389!4d80.284447!16s%2Fg%2F1w0h5ykq!19sChIJ6eRSg8hlUjoRHnku3OmU6PY?authuser=0&hl=en&rclk=1,Madras Papers,"1, Anderson Street, George Town, Chennai, Tamil Nadu 600001",Not Found,09176007176,13.090389,80.284447
https://www.google.com/maps/place/Friends+Offset+Calendars/data=!4m7!3m6!1s0x3a526f51341e2d83:0x6747a423d70f1086!8m2!3d13.0888532!4d80.2824322!16s%2Fg%2F1tfsfv6t!19sChIJgy0eNFFvUjoRhhAP1yOkR2c?authuser=0&hl=en&rclk=1,Friends Offset Calendars,"43, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,07358283007,70,80.2824322
https://www.google.com/maps/place/S+Mohamedali+Store/data=!4m7!3m6!1s0x3a526f51341e2d83:0x7693223a8749278a!8m2!3d13.0890016!4d80.282579!16s%2Fg%2F1wk4bhgm!19sChIJgy0eNFFvUjoRiidJhzoik3Y?authuser=0&hl=en&rclk=1,S Mohamedali Store,"29, Bunder Street, Broadway, George Town, Chennai, Tamil Nadu 600001",Not Found,04425380707,13.0890016,80.282579
