URL,Name,Address,Website,,Phone,Store_Type,Operating_Status,Operating_Hours,Rating,Permanently_Closed,Latitude,Longitude,
https://www.google.com/maps/place/Golden+Paper+%26+Stationery+Stores/data=!4m7!3m6!1s0x3a526f511066c25b:0xc854cd80c9159e73!8m2!3d13.0886349!4d80.2839207!16s%2Fg%2F1tf3mblz!19sChIJW8JmEFFvUjoRc54VyYDNVMg?authuser=0&hl=en&rclk=1,Golden Paper & Stationery Stores,"D, 25, Anderson Street, Flower Bazaar, Parrys, George Town, Chennai, Tamil Nadu 600001, India",Not Found,91949991745,91949991745,Stationery store,Open,Closes 9 at PM,4.5,No,13.0886349,80.2839207,
https://www.google.com/maps/place/AVM+STATIONERY+STORES/data=!4m7!3m6!1s0x3a5265c89bef6bd9:0x1f75faf67e6d38f3!8m2!3d13.0887797!4d80.2838219!16s%2Fg%2F1tjddm46!19sChIJ2Wvvm8hlUjoR8zhtfvb6dR8?authuser=0&hl=en&rclk=1,AVM STATIONERY STORES,"26b, Anderson Street, George Town, Chennai, Tamil Nadu 600001, India",Not Found,91944417987,91944417987,Store,Open,Closes 10 at PM,4.2,No,13.0887797,80.2838219,India
https://www.google.com/maps/place/Krishika+stationery/data=!4m7!3m6!1s0x3a526f4e4aa272af:0xd5a0483b1c0a29e6!8m2!3d13.0988311!4d80.2904728!16s%2Fg%2F11cjj_mpzt!19sChIJr3KiSk5vUjoR5ikKHDtIoNU?authuser=0&hl=en&rclk=1,Krishika stationery,"270, Linghi Chetty Street, facing, Krishnan Koil St, George Town, Chennai, Tamil Nadu 600001, India",https://www.instagram.com/krishika_stationery_94?igsh=MTZqMGZueTAxazkyYg==,91994195128,91994195128,Office supply wholesaler,Open,Closes 9 at PM,5,No,13.0988311,80.2904728,India
https://www.google.com/maps/place/Todays+Stationery+Stores/data=!4m7!3m6!1s0x3a526f51367aa241:0x3a745fac3eacb495!8m2!3d13.0886708!4d80.2824916!16s%2Fg%2F11clhsh49_!19sChIJQaJ6NlFvUjoRlbSsPqxfdDo?authuser=0&hl=en&rclk=1,Todays Stationery Stores,"34, 35, Bunder Street, George Town, Chennai, Tamil Nadu 600001, India",Not Found,91994177528,91994177528,Stationery store,Open,Closes 9:30 at PM,3.9,No,13.0886708,80.2824916,
https://www.google.com/maps/place/New+Andavar+Stores/data=!4m7!3m6!1s0x3a526f513184f26b:0x703e66dc6cd50250!8m2!3d13.0890906!4d80.2825408!16s%2Fg%2F1ptyj2sdy!19sChIJa_KEMVFvUjoRUALVbNxmPnA?authuser=0&hl=en&rclk=1,New Andavar Stores,"27, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001, India",Not Found,91988418012,91988418012,Stationery store,Open,Closes 10 at PM,4.5,No,13.0890906,80.2825408,
https://www.google.com/maps/place/M.R.+BOOK+STORES/data=!4m7!3m6!1s0x3a526f514d906d95:0x251c1c5b3c58e771!8m2!3d13.0893603!4d80.2824811!16s%2Fg%2F11cjnk9jry!19sChIJlW2QTVFvUjoRcedYPFscHCU?authuser=0&hl=en&rclk=1,M.R. BOOK STORES,"45, Bunder Street, Parrys, George Town, Chennai, Tamil Nadu 600001, India",Not Found,914425364596,9.14425E+11,Not Found,Open,Closes 9:30 at PM,4.5,No,13.0893603,80.2824811,
https://www.google.com/maps/place/NEW+BURMA+PAPER+%26+STATIONERY+STORES/data=!4m7!3m6!1s0x3a5265c89bef6bd9:0x682e8254d076ec6a!8m2!3d13.0899131!4d80.284142!16s%2Fg%2F11cs1lc209!19sChIJ2Wvvm8hlUjoRaux20FSCLmg?authuser=0&hl=en&rclk=1,NEW BURMA PAPER & STATIONERY STORES,"17A, 8A, Anderson Street, Parrys, George Town, Chennai, Tamil Nadu 600001, India",Not Found,91984053952,91984053952,Stationery wholesaler,Open,Closes 9 at PM,4,No,13.0899131,80.284142,
https://www.google.com/maps/place/Hatim+Enterprises+-+One+Stop+Shop+For+All+Your+Stationery+needs/data=!4m7!3m6!1s0x3a526f1d429f8021:0xec1a84da963d239f!8m2!3d13.0976935!4d80.285534!16s%2Fg%2F11jxxlvkn7!19sChIJIYCfQh1vUjoRnyM9ltqEGuw?authuser=0&hl=en&rclk=1,Hatim Enterprises - One Stop Shop For All Your Stationery needs,"Shop No:6,Mylal, Chicken Market, 1, Mylai Periyathambi St, Amman Koil South, George Town, Chennai, Tamil Nadu 600001, India",Not Found,91880716297,91880716297,Office supply store,Open,Closes 9 at PM,4.9,No,13.0976935,80.285534,
https://www.google.com/maps/place/Indo-burma+Stationery/data=!4m7!3m6!1s0x3a526f51113e64db:0x347b3589efab1274!8m2!3d13.090242!4d80.284126!16s%2Fg%2F1vfp6mrv!19sChIJ22Q-EVFvUjoRdBKr74k1ezQ?authuser=0&hl=en&rclk=1,Indo-burma Stationery,"41, Anderson Street, Broadway, George Town, Chennai, Tamil Nadu 600001, India",Not Found,Phone Number Not Found,Phone Number Not Found,Stationery store,Open,Closes 8 at PM,5,No,13.090242,80.284126,
https://www.google.com/maps/place/Madhu+Stationers/data=!4m7!3m6!1s0x3a526f002a1c5bc3:0x4d84dcb9e146e21e!8m2!3d13.0926887!4d80.280443!16s%2Fg%2F11yfw50_kl!19sChIJw1scKgBvUjoRHuJG4bnchE0?authuser=0&hl=en&rclk=1,Madhu Stationers,"Parmila Complex, Kesar Avenue, 121, Audiappa Naicken St, Sowcarpet, George Town, Chennai, Tamil Nadu 600001, India",https://makoba.com/,Phone Number Not Found,Phone Number Not Found,Stationery store,Open,Closes 8 at PM,5,No,13.0926887,80.280443,
