URL,Name,Address,Website,Phone,Store_Type,Operating_Status,Operating_Hours,Rating,Review_Count,Permanently_Closed,Latitude,Longitude
https://www.google.com/maps/place/Hasti+Stationery+mart/data=!4m7!3m6!1s0x3bcb915ca0940321:0xb95ea91f1a8b1bfa!8m2!3d17.4402189!4d78.3944511!16s%2Fg%2F1yglp_lwh!19sChIJIQOUoFyRyzsR-huLGh-pXrk?authuser=0&hl=en&rclk=1,Hasti Stationery mart,"1-63/4, Hitech City Rd, opp. pillar no C 1720, near madhapur, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Not Found,0903012794,Stationery store,Open,Closes 10:30 pm,4.5,478,No,17.4402189,78.3944511
https://www.google.com/maps/place/Sri+Ramdev+Stationery/data=!4m7!3m6!1s0x3bcb915d1d0c46a1:0xcdf07bda4fd5e155!8m2!3d17.4401489!4d78.395458!16s%2Fg%2F11bw46pfkz!19sChIJoUYMHV2RyzsRVeHVT9p78M0?authuser=0&hl=en&rclk=1,Sri Ramdev Stationery,"Shop No. 1, police station, 27, Hitech City Main Rd, Guttala_Begumpet, near, Madhapur, Hyderabad, Telangana 500033",Not Found,0784236502,Stationery store,Open,Closes 10 pm,4.0,20,No,17.4401489,78.395458
https://www.google.com/maps/place/Ramdev+Stationery/data=!4m7!3m6!1s0x3bcb9187fee10721:0x2839f5a15c246e99!8m2!3d17.4408624!4d78.3916146!16s%2Fg%2F11lmf_9h_9!19sChIJIQfh_oeRyzsRmW4kXKH1OSg?authuser=0&hl=en&rclk=1,Ramdev Stationery,"Metro pillar No, Shop No 1-98/90/26/1, C-1730, Hitech City Rd, beside IOC Petrol pump, Madhapur, Hyderabad, Telangana 500081",Not Found,0944019454,Stationery store,Open,Closes 10 pm,5.0,2,No,17.4408624,78.3916146
https://www.google.com/maps/place/Gurudev+Stationary+madhapur/data=!4m7!3m6!1s0x3bcb91002bc41ddf:0xac1223f29dac6adc!8m2!3d17.4449205!4d78.3861173!16s%2Fg%2F11y5q9btqv!19sChIJ3x3EKwCRyzsR3GqsnfIjEqw?authuser=0&hl=en&rclk=1,Gurudev Stationary madhapur,"Pillar C1763, Silicon Valley, HITEC City, Hyderabad, Telangana 500081",Not Found,0778050825,Stationery store,Open,Closes 10:30 pm,4.9,68,No,17.4449205,78.3861173
https://www.google.com/maps/place/Golden+Paper+%26+Stationery+Stores/data=!4m7!3m6!1s0x3a526f511066c25b:0xc854cd80c9159e73!8m2!3d13.0886349!4d80.2839207!16s%2Fg%2F1tf3mblz!19sChIJW8JmEFFvUjoRc54VyYDNVMg?authuser=0&hl=en&rclk=1,Golden Paper & Stationery Stores,"D, 25, Anderson Street, Flower Bazaar, Parrys, George Town, Chennai, Tamil Nadu 600001",Not Found,0949991745,Stationery store,Open,Closes 9 pm,4.5,817,No,13.0886349,80.2839207
https://www.google.com/maps/place/DURGA+STATIONERY/data=!4m7!3m6!1s0x3bcb939073374b77:0xa934035e88f5e007!8m2!3d17.4418345!4d78.3670585!16s%2Fg%2F11qh34903k!19sChIJd0s3c5CTyzsRB-D1iF4DNKk?authuser=0&hl=en&rclk=1,DURGA STATIONERY,"AIG hospital, Aig hospital backside Opp the nawab restaurant Babu khan lane, Gachibowli Cir, P Janardhan Reddy Nagar, Gachibowli, Hyderabad, Telangana 500032",Not Found,0812527800,Stationery store,Open,Not Found,4.5,80,No,17.4418345,78.3670585
https://www.google.com/maps/place/Dev+Ramdev+Stationery/data=!4m7!3m6!1s0x3bcb978e34b115bd:0x160d37b219c14d0b!8m2!3d17.421261!4d78.3487271!16s%2Fg%2F11lm_5sv4r!19sChIJvRWxNI6XyzsRC03BGbI3DRY?authuser=0&hl=en&rclk=1,Dev Ramdev Stationery,"Shop No-1, House Number-2, 58-6, opposite The Gaudium School, Nanakramguda, Hyderabad, Telangana 500032",Not Found,0984808416,Stationery store,Open,Closes 9 pm,4.9,88,No,17.421261,0
https://www.google.com/maps/place/MAHADEVA+STATIONERY+AND+TOYS/data=!4m7!3m6!1s0x3bcb93d60b232155:0x9c5bdeaec88fcfc!8m2!3d17.4339013!4d78.3347559!16s%2Fg%2F11n05jcr5v!19sChIJVSEjC9aTyzsR_PyI7Oq9xQk?authuser=0&hl=en&rclk=1,MAHADEVA STATIONERY AND TOYS,"Back side of Q-City, 9-1-573 Goldcrest Road, TNGOS Colony, Gachibowli, Hyderabad, Telangana 500046",Not Found,0868631177,Stationery store,Open,Closes 10:30 pm,4.5,76,No,60,78.3347559
https://www.google.com/maps/place/Sri+Balaji+Stationery+%26+General+Stores/data=!4m7!3m6!1s0x3bcb91669dc335c5:0x630500d3096448d!8m2!3d17.4512017!4d78.3915271!16s%2Fg%2F1yg93qgjg!19sChIJxTXDnWaRyzsRjUSWMA1QMAY?authuser=0&hl=en&rclk=1,Sri Balaji Stationery & General Stores,"100 Feet Rd, Ayyappa Society, Mega Hills, Madhapur, Hyderabad, Telangana 500081",Not Found,0801953291,Stationery store,Open,Closes 10 pm,4.1,22,No,17.4512017,78.3915271
https://www.google.com/maps/place/BAJRANG+STATIONERY+SPORTS+%26+GIFTS+TOYS/data=!4m7!3m6!1s0x3bcb93e31f9c26d5:0x66d247e7fa2cd4aa!8m2!3d17.4302409!4d78.3234784!16s%2Fg%2F11vjqj53z8!19sChIJ1SacH-OTyzsRqtQs-udH0mY?authuser=0&hl=en&rclk=1,BAJRANG STATIONERY SPORTS & GIFTS TOYS,"H.No.2-105/3, Gowlidoddi WiproCircle, near hindware, Gowlidoddy Rd, Serilingampalle (M), Hyderabad, Telangana 500032",Not Found,0994038539,Stationery store,Open,Not Found,4.7,77,No,17.4302409,78.3234784
